content_id,topic_cluster,predicted_watch_time,completion_rate_baseline,thumbnail_appeal,creator_authority,position_in_belief_space,emotional_valence,engagement_potential,quality_signal,novelty,birth_timestep
youtube_000000,3,0.6019903706253509,0.5,0.5999260367223249,0.32594809516396744,4.618855631785296,0.3446672982883854,0.6009582036738379,0.20551511522489496,1.0,0
youtube_000001,3,0.4557644219608131,0.5,0.21193039325118848,0.8041504696297135,5.92534853779927,0.243445230078231,0.3338474076060008,0.500508428002574,1.0,0
youtube_000002,5,0.6200780522334,0.5,0.7805091336042717,0.5447682387069881,8.350026512143247,0.5496415324837595,0.7002935929188359,0.3370897362410349,1.0,0
youtube_000003,10,0.5212263491806151,0.5,0.2783045058811214,0.1327699815390117,5.223670804577031,0.7042131738025937,0.3997654275308682,0.2509525368194416,1.0,0
youtube_000004,0,0.6851224571443277,0.5,0.8572655672758425,0.5550118846149287,2.5524268852186247,0.34859400231680115,0.7711940122100851,0.0,1.0,0
youtube_000005,4,0.5832405309743005,0.5,0.8659627701561798,0.3139341809865893,2.369433180579989,0.9129786569823456,0.7246016505652402,0.434909579539468,1.0,0
youtube_000006,6,0.584382505947765,0.5,0.6856406375767252,0.49449631000669414,4.439268157747019,0.7018463113593222,0.6350115717622451,0.45026888102421536,1.0,0
youtube_000007,8,0.43267349604870314,0.5,0.2520842304238938,0.469505263257628,2.719164355743005,0.8100025225765393,0.34237886323629846,0.7711802199700837,1.0,0
youtube_000008,2,0.32973980414880255,0.5,0.1946055722852352,0.635556260334532,0.21557912773596666,0.6330146749072085,0.2621726882170189,0.7094869186287863,1.0,0
youtube_000009,1,0.4884588115712642,0.5,0.6414787551583307,0.6332769477101443,4.414722508016758,0.68068053092858,0.5649687833647975,0.5983665173631831,1.0,0
youtube_000010,13,0.47675227802950293,0.5,0.41925133876390686,0.5442737877476956,5.761279057863245,0.1885563869167739,0.4480018083967049,0.6475800928340134,1.0,0
youtube_000011,1,0.5861061664224476,0.5,0.818912689235958,0.8819198959745018,7.76775430493322,0.8552283444600769,0.7025094278292028,0.670342730973431,1.0,0
youtube_000012,1,0.6158638952799209,0.5,0.8371389215183546,0.3550400204503331,4.96478212084721,0.7457207099422702,0.7265014083991377,0.5975200031244847,1.0,0
youtube_000013,2,0.5295205826195061,0.5,0.4002946696868949,0.7731327390078004,5.619600060518427,0.6709578083987057,0.46490762615320047,0.7769514569764269,1.0,0
youtube_000014,5,0.5427478478621613,0.5,0.44010984367144085,0.7786801051247871,6.031266097269525,0.6534488706949284,0.4914288457668011,0.24608410247527807,1.0,0
youtube_000015,3,0.4732539777950954,0.5,0.5629010968791756,0.5674676463857532,5.16563693240856,0.23945114438066883,0.5180775373371355,0.4025171675508152,1.0,0
youtube_000016,12,0.4612620948475208,0.5,0.5272561351534433,0.5917539508774639,3.6650402636172537,0.27569813078812355,0.49425911500048203,0.3742739682992703,1.0,0
youtube_000017,1,0.539019670671117,0.5,0.5530443715438464,0.6901439598305625,9.34220370241588,0.7510496472377162,0.5460320211074817,0.38970663745223955,1.0,0
youtube_000018,2,0.48931658364629077,0.5,0.5451547216251956,0.43684251998737667,3.023450660970706,0.6212273079524132,0.5172356526357432,0.46967449290250646,1.0,0
youtube_000019,1,0.5163707470638572,0.5,0.2479224235993413,0.3987733872625716,5.832818114072969,0.8636602893409588,0.3821465853315993,0.8265152407119687,1.0,0
youtube_000020,9,0.5147754126846968,0.5,0.4596439871621361,0.40919119843421264,3.4401415222509604,0.2480783208428668,0.48720969992341645,0.6790689057343802,1.0,0
youtube_000021,13,0.546004335590409,0.5,0.8146967256580944,0.5584851549656169,5.225789388432673,0.5670143717661327,0.6803505306242517,0.7446248128440073,1.0,0
youtube_000022,2,0.35570094041607275,0.5,0.2819750656427252,0.4061820193219774,5.818970702565527,0.6670527147117451,0.31883800302939896,0.48441434475326073,1.0,0
youtube_000023,8,0.6119016819868968,0.5,0.7238003605867059,0.3555588262019289,4.595863463946355,0.8999966294508106,0.6678510212868014,0.47535941290543565,1.0,0
youtube_000024,5,0.3381214656519385,0.5,0.07995307820173429,0.29283567582999825,2.572972851878738,0.46290700527936535,0.2090372719268364,0.6156741366857088,1.0,0
youtube_000025,9,0.4111720203980307,0.5,0.40968443842308555,0.30323430973536175,4.3052428877070055,0.37290449706029183,0.4104282294105581,0.5864100867571787,1.0,0
youtube_000026,9,0.3841158821133288,0.5,0.27874251252567667,0.372059198419742,7.2481650058533695,0.22685199594720618,0.3314291973195027,0.5862890730157672,1.0,0
youtube_000027,4,0.3973481422169672,0.5,0.028114924710754333,0.37661738452149884,1.9957380887898264,0.7660914185123937,0.21273153346386076,0.9636802562275437,1.0,0
youtube_000028,9,0.5757326038066526,0.5,0.6470438189222134,0.5214555353266195,8.261785813464488,0.3601261280000871,0.611388211364433,0.6171709456342261,1.0,0
youtube_000029,0,0.4626065903876847,0.5,0.6414786044423789,0.3447522183748337,5.189733169907803,0.2779423170355177,0.5520425974150318,0.34257775217847314,1.0,0
youtube_000030,7,0.6194651210055445,0.5,0.7883320205869513,0.5983362051665629,6.429517226976682,0.3442963323264583,0.703898570796248,0.35921799681425715,1.0,0
youtube_000031,14,0.5095097928893764,0.5,0.45398633247930537,0.8935561466364101,2.8920032627004564,0.8619415219421538,0.4817480626843409,0.6683715848630145,1.0,0
youtube_000032,13,0.6244775997594796,0.5,0.7147522932299997,0.7499076206733201,4.701919103805237,0.3342667504637255,0.6696149464947396,0.6527563936692156,1.0,0
youtube_000033,0,0.4512812202020994,0.5,0.6128984643727771,0.2877943834165094,3.667988896262426,0.2669070926449814,0.5320898422874383,0.6957462537063843,1.0,0
youtube_000034,0,0.3804075629831786,0.5,0.25315145323748767,0.44016960872604194,5.5906598449320954,0.22056938607320814,0.3167795081103332,0.6041767341334426,1.0,0
youtube_000035,12,0.6519025943880211,0.5,0.8039780206814141,0.2458667930922685,2.816263048003016,0.4751106764818799,0.7279403075347176,0.29198135301124184,1.0,0
youtube_000036,3,0.5800128822133048,0.5,0.80692645806612,0.5390142083693024,3.7589404221622797,0.25330288170023796,0.6934696701397124,0.8073368535213232,1.0,0
youtube_000037,9,0.47179092590426963,0.5,0.1333534662545991,0.550600510771093,9.134935879977405,0.2453526917422903,0.30257219607943436,0.7685758844534696,1.0,0
youtube_000038,8,0.4006264620853882,0.5,0.040713026236126514,0.5347927059303859,6.293799188066142,0.8407266222586236,0.22066974416075735,0.42287636926680605,1.0,0
youtube_000039,6,0.3861406786323651,0.5,0.41765123988023056,0.29012360850120045,5.759598995074568,0.710364801020497,0.40189595925629784,0.5732993969258805,1.0,0
youtube_000040,4,0.5961141627869277,0.5,0.8528654830774338,0.37009715069506854,5.727333629349834,0.9650422116874537,0.7244898229321808,0.5371610155940393,1.0,0
youtube_000041,11,0.5470122216750866,0.5,0.7920727774978639,0.6911577847166381,7.9172837459666,0.6642513895670573,0.6695424995864752,0.425691576710272,1.0,0
youtube_000042,3,0.564259607842629,0.5,0.5402522188717552,0.5793735727833746,4.746912758839688,0.4594761993824342,0.552255913357192,0.2681630789997811,1.0,0
youtube_000043,11,0.39899662553872345,0.5,0.39672197121875635,0.3263833713009311,6.872926518235883,0.6427788723152227,0.3978592983787399,0.6148958546556514,1.0,0
youtube_000044,3,0.6206938268311071,0.5,0.6472370069942973,0.2432118835311768,0.27986495119385957,0.33880144538430834,0.6339654169127023,0.20160256435321433,1.0,0
youtube_000045,13,0.6370762342443996,0.5,0.8037851965155878,0.4854498268751426,4.760185196085506,0.2955358433685814,0.7204307153799937,0.38092458823666664,1.0,0
youtube_000046,10,0.6066361452979039,0.5,0.798207810143037,0.47548788060401015,4.381951776056092,1.0,0.7024219777204704,0.842364867433083,1.0,0
youtube_000047,8,0.5655573038343304,0.5,0.6777120991951117,0.24275227864113058,3.951341617766405,0.7642212950317793,0.621634701514721,0.5832687596895944,1.0,0
youtube_000048,1,0.49835382425624847,0.5,0.19325016611978388,0.43834631053795775,6.4787430364741825,0.7587398034465308,0.3458019951880162,0.5766314066966831,1.0,0
youtube_000049,3,0.5607335628030268,0.5,0.4599877433700411,0.40308012902688345,4.730944971612123,0.30807896796357825,0.5103606530865339,0.44109378559437384,1.0,0
youtube_000050,9,0.6178142228624863,0.5,0.6114079110810663,0.38253177793352566,4.678430844334934,0.2194719376300917,0.6146110669717764,0.18772712626325516,1.0,0
youtube_000051,8,0.5594034473628808,0.5,0.48319105032781645,0.414405403084664,3.43172257946069,0.844036279491621,0.5212972488453487,0.5828566499830253,1.0,0
youtube_000052,1,0.5122301068409943,0.5,0.6403008685598297,0.554862813225938,4.212785021313166,0.937454222583743,0.5762654877004121,0.5997811526104622,1.0,0
youtube_000053,1,0.4683467611423637,0.5,0.6146508308791487,0.5179115490952471,0.9862019147779746,0.8076401606045674,0.5414987960107562,0.6588351596937132,1.0,0
youtube_000054,9,0.5281499815568816,0.5,0.7284282741248798,0.7510439589611619,4.368986268929846,0.27359712556705673,0.6282891278408806,0.421477246426282,1.0,0
youtube_000055,5,0.5903554562843126,0.5,0.49342326734783243,0.5395634975439421,2.1697498469164738,0.4398322698332505,0.5418893618160725,0.41826448243157727,1.0,0
youtube_000056,7,0.625770293568824,0.5,0.6101622741776861,0.6609624363794819,8.089311329796663,0.2542557314774738,0.617966283873255,0.6136178747444208,1.0,0
youtube_000057,9,0.41813353875018694,0.5,0.4246206436363533,0.23529368029445707,6.467352506877269,0.2630683216016631,0.42137709119327016,0.24843015837279409,1.0,0
youtube_000058,12,0.4836110052186944,0.5,0.6278349728672601,0.5303625335293491,6.825973512001219,0.348620883375832,0.5557229890429772,0.6626140310571564,1.0,0
youtube_000059,3,0.45837197812002506,0.5,0.25595003504332187,0.4255171984128507,2.358323471552055,0.43510145388418486,0.3571610065816735,0.46794867712505583,1.0,0
youtube_000060,10,0.40633919712591776,0.5,0.15213178263249366,0.6447783970402277,6.67616908140642,0.7061947169417381,0.2792354898792057,0.5586072247479533,1.0,0
youtube_000061,12,0.5310954298084516,0.5,0.5607166956187235,0.5508210584308211,3.665576428376049,0.5222531380740145,0.5459060627135875,0.9615398945042221,1.0,0
youtube_000062,13,0.5337680422592217,0.5,0.341198893018618,0.8150198735417007,5.553595029321025,0.29997091885255783,0.4374834676389199,0.44561720340612154,1.0,0
youtube_000063,14,0.5883007020609599,0.5,0.756304929420643,0.31362986412873806,4.626631008991404,0.761939756474892,0.6723028157408014,0.5278622042182305,1.0,0
youtube_000064,0,0.5694715153427278,0.5,0.6780223141059436,0.35773930314951397,2.2427257939286083,0.15703656111353087,0.6237469147243357,0.505992495332233,1.0,0
youtube_000065,1,0.49298277233829,0.5,0.36905788149457686,0.568244563690269,2.9249043230775484,0.8573960525948701,0.43102032691643344,0.10422879520244055,1.0,0
youtube_000066,13,0.5887240460225054,0.5,0.788727615179555,0.4740463185213788,6.318600396208096,0.20233156538083957,0.6887258306010302,0.6222931201307436,1.0,0
youtube_000067,3,0.3948522535622934,0.5,0.09510891824927148,0.31128953314762453,6.254944390386736,0.3391168847801151,0.24498058590578245,0.032434746385227864,1.0,0
youtube_000068,4,0.47030248091550764,0.5,0.23649831917084949,0.5746529868814845,2.2552177136005898,0.8764821912695081,0.3534004000431786,0.6514933203559323,1.0,0
youtube_000069,7,0.6834899835146528,0.5,0.8347791239892437,0.40094617944500277,7.2733761644358434,0.2757900355694875,0.7591345537519483,0.3616773901910749,1.0,0
youtube_000070,9,0.717224004092825,0.5,0.9360181216769783,0.5901079321479735,4.23673716488843,0.003651833821852579,0.8266210628849017,0.35235101104377503,1.0,0
youtube_000071,0,0.5852380209677933,0.5,0.6721964932243154,0.16002183568638545,2.435832272418737,0.544091904895644,0.6287172570960544,0.49231103459403003,1.0,0
youtube_000072,9,0.5353966420728556,0.5,0.7721865938968018,0.44132083188483506,3.9016627806527198,0.12498178201363574,0.6537916179848287,0.23483767475409484,1.0,0
youtube_000073,1,0.556379421120118,0.5,0.44321112614452063,0.5313838128110039,2.289120159308712,0.8226932531362846,0.4997952736323193,0.4775951882303969,1.0,0
youtube_000074,5,0.6312504514806445,0.5,0.8081764536684255,0.5338620762738147,3.5491975968182428,0.3797535292474498,0.719713452574535,0.2808243184296674,1.0,0
